Name,Price,Link,Image_URL,Rating,Description,Product ID,Manufactured By,Sold By,Width,Depth,Height,Weight,Color,Materials,Category,Style,Number of Colors,List of Colors
"Elaine 77"" Camel Back Small Space Sofa, Olive Green Performance Velvet",$735,https://www.houzz.com/products/elaine-77-camel-back-small-space-sofa-olive-green-performance-velvet-prvw-vr~191212253,https://st.hzcdn.com/fimgs/e3b1f5830346fef6_1477-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"The Elaine Sofa Collection by Jennifer Taylor Home is an elegant seating solution for small spaces. The 77-inch length is perfect in apartments and small living spaces, or even at the end of a King bed in place of a bench. The luxuriously soft performance velvet is durable and easy to clean. The two-seat cushions are removable with zippered covers and rest on inner sinuous spring construction for a supportive yet comfortable medium-firm sitting experience. The rolled arms are accented with individually applied zinc nail heads for an overall stunning design that is both classic and contemporary.
*Fabric swatch available upon request",191212253,Jennifer Taylor Home,Houzz,77.0 inches,31.5 inches,31.5 inches,91.0 lbs,Olive Green Performance Velvet,"Velvet, Polyester, Birch Wood, Pine Wood",Sofas,Transitional,2,"Olive Green Performance Velvet, Deep Brown Performance Velvet"
Amira Beige Linen Fabric Reversible Sectional Sofa with USB Storage Console,"$1,229",https://www.houzz.com/products/amira-beige-linen-fabric-reversible-sectional-sofa-with-usb-storage-console-prvw-vr~166426043,https://st.hzcdn.com/fimgs/105153ba0faf4947_7080-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"Comfort, Style, and Quality! These are the important features for the Amira Collection. This beautiful modular sofa sectional with USB console with cupholders, ottoman, and six matching accent pillows will fit into any living room and impress your guests! The comfortable beige linen fabric with matching accent pillows will light up your living room with the most trendiest of looks. Perfect for apartments, condo, loft, and single family home, you will be able to welcome multiple guests comfortably where everyone is able to enjoy entertainment together.",166426043,Lilola Home,Homesquare,123.0 inches,106.0 inches,33.0 inches,324.0 lbs,,"Fabric, Wood, Foam",Sectional Sofas,Contemporary,0,
"McCardell Fabric 3 Seater Curved Sectional Sofa, Beige + Dark Brown","$1,051",https://www.houzz.com/products/mccardell-fabric-3-seater-curved-sectional-sofa-beige-dark-brown-prvw-vr~184319259,https://st.hzcdn.com/fimgs/55d1a0370221ab02_8304-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"Grace your living room seating arrangement with a stunning centerpiece that will uplift your space with impressive sophistication and excellent comfort. Our contemporary three-seater sectional sofa is the ideal addition to any interior space with its beautifully curved design, classic style, and traditional elements such as clean lines and smooth upholstery. Including seven cozy accent pillows and rich birch wood legs, this impressive sofa acts as a streamlined statement piece that can change the whole flow of your living room.",184319259,GDFStudio,GDFStudio,92.5 inches,49.0 inches,29.0 inches,39.68 lbs,Beige + Dark Brown,,Sectional Sofas,Transitional,2,"Beige + Dark Brown, Charcoal + Dark Brown"
"Spencer Tufted Chesterfield Velvet 3 Seater Sofa, Midnight Blue/Dark Brown",$627,https://www.houzz.com/products/spencer-tufted-chesterfield-velvet-3-seater-sofa-midnight-blue-dark-brown-prvw-vr~150770329,https://st.hzcdn.com/fimgs/8fa11d8e022ebe46_3987-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"Bring home a timeless addition for your living room with our lasting Chesterfield style sofa. This lovely sofa is the ideal addition to any living room with its classic design and traditional elements such as deep button tufting, and nailhead accents. Featuring a low backrest and plush upholstery, this sofa stands as a streamlined statement piece that can change the whole flow of your living room, creating an open, clean space. Finished with beautifully turned legs, our sofa provides an elegant touch to any room.

CHESTERFIELD STYLE: Designed with the traditional Chesterfield sofa in mind, this piece hits all the key elements, with deep button tufting, nailhead accents, and turned legs. This is finished with gorgeous upholstery and elegant diamond stitching.

BUTTON TUFTED DIAMOND STITCH: The button-tufted stitching in the backrest and armrests offers an extra touch of sophistication that enhances its contemporary design. The diamond stitch pattern adds a bit of texture without sacrificing any comfort.

UPHOLSTERED: Our sofa is generously upholstered, giving any room a refined appearance. This provides a smooth, immaculate texture for this piece as well as plush seating for extra comfort.

SQUARE ARMS: With a modern twist to a traditional Chesterfield look, this sofa features stylish square arms. Not only does it add an air of class to the sofa and your room, but it also provides a more comfortable place to lean against while relaxing on your sofa.

LOW PROFILE: This sofa offers a low profile build which makes it perfect for smaller spaces and keeps your room from feeling cluttered. This sofa is 83.00"" W x 32.00"" D x 26.00"" H. You will love how much your space can transform with the simple addition of this charming sofa.",150770329,GDFStudio,GDFStudio,83.0 inches,32.0 inches,27.75 inches,99.54 lbs,Midnight Blue/Dark Brown,"Velvet, Birch",Sofas,Traditional,2,"Midnight Blue/Dark Brown, Black/Dark Brown"
Modern 7-Seat Sofa Curved Sectional Modular Velvet Upholstered & Ottoman,"$2,601",https://www.houzz.com/products/modern-7-seat-sofa-curved-sectional-modular-velvet-upholstered-and-ottoman-prvw-vr~163826576,https://st.hzcdn.com/fimgs/6991b8ae045ca850_0323-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"Attractive and cozy, this sumptuously three-piece sectional sofa is a great addition to update your home. Boasting a modern style, it features a lovely curved low back and warm beige hue for a stylish look. Comfortable high-density foam filler in the velvet seat and back cushions, it provides incredible comfort that you can't help sprawling out on. Versatile layouts make it easier to fit in any existing decor. Comes with soft back cushions and throw pillows, it highlights the sophisticated look with a plush, cozy feel. While the matching ottoman offers great convenience for putting your feet up while watching the favorite movie. A perfect new centerpiece for your empty living room.",163826576,Homary International Limited,Homary International Limited,98.03 inches,76.38 inches,37.01 inches,270.73 lbs,,,Sectional Sofas,Contemporary,0,
"Commix Down Filled Overstuffed Performance Velvet 7-Piece Sectional, Cognac","$3,886",https://www.houzz.com/products/commix-down-filled-overstuffed-performance-velvet-7-piece-sectional-cognac-prvw-vr~178935464,https://st.hzcdn.com/fimgs/3c51b7cd0fe36df1_2437-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"A haven for cozy relaxation, Commix features plush comfort, clean-lined design, and spacious profile, that makes an attractive statement in the modern home. Covered in stain-resistant performance velvet, this upholstered sectional sofa comes with a solid wood construction and foam padded and duck down cushions for a luxurious sink-in feel. Commix features overstuffed down feather cushions that offer a feeling of relaxation and calming comfort while lounging, making it the perfect addition to the living room, family room, or game room. Made for sprawling out or curling up, Commix beckons you and guests to sit and stay a while. Includes plastic foot glides. Weight Capacity Each Chair: 331 lbs.",178935464,LexMod,First of a Kind USA Inc,158.0 inches,119.0 inches,35.0 inches,513.0 lbs,Cognac,"Seat:28-33KG/M3 density foam; Seat cushion: doll cotton 50%, down feather 50%, 9l",Sectional Sofas,Contemporary,7,"Cognac, Dusty Rose, White, Gray, Green, Navy, Light Gray"
Modway Revive Upholstered Fabric Right or Left Sectional Sofa in Gray,$521,https://www.houzz.com/products/modway-revive-upholstered-fabric-right-or-left-sectional-sofa-in-gray-prvw-vr~203546242,https://st.hzcdn.com/fimgs/6a11671005d83715_2798-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"Give new vitality to your living space with the Revive Upholstered Fabric Right or Left Sectional Sofa Sectional Sofa. With a comfortable yet tailored profile and two bolster pillows, Revive Living Room Couch beckons guests to sit and stay a while. Dense foam padding and a pocket coil spring system provide a luxurious seating experience. Soft polyester fabric upholstery grants this three-seater sectional sofa with a right or left facing chaise an approachable appeal that’s echoed by its calming color, clean lines, and splayed and tapered wood legs with non-marking foot caps. The Revive Right-Facing Sofa has a built in ottoman that allows for a variety of comfortable lounging combinations and accommodates a multiple decor styles in your living room, lounge room, or other seating area. Weight Capacity: 900 lbs.",203546242,Modway,Homesquare,79.0 inches,55.0 inches,33.0 inches,110.0 lbs,Gray,Fabric,Sectional Sofas,Midcentury,3,"Gray, Light Gray, White"
Amira Beige Fabric Reversible Modular Sectional Sofa with Ottoman and Pillows,"$1,113",https://www.houzz.com/products/amira-beige-fabric-reversible-modular-sectional-sofa-with-ottoman-and-pillows-prvw-vr~176629398,https://st.hzcdn.com/fimgs/e9017b610faf4945_4953-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"Comfort, Style, and Quality! These are the important features for the Amira Collection. This beautiful modular sofa sectional with ottoman and six matching accent pillows will fit into any living room and impress your guests! The comfortable beige linen fabric with matching accent pillows will light up your living room with the most trendiest of looks. Perfect for apartments, condo, loft, and single family home, you will be able to welcome multiple guests comfortably where everyone is able to enjoy entertainment together.",176629398,Lilola Home,Homesquare,120.5 inches,95.3 inches,33.0 inches,301.0 lbs,,"Fabric, Wood, Foam",Sectional Sofas,Contemporary,0,
"Mara Mid-Century Modern Luxury Tight Back Velvet Sofa, Light Cream","$1,287",https://www.houzz.com/products/mara-mid-century-modern-luxury-tight-back-velvet-sofa-light-cream-prvw-vr~199489147,https://st.hzcdn.com/fimgs/4331e47004d10d9e_2983-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"The Mid-Century Modern Velvet Solid Wood Leg Sofa is a true embodiment of style and elegance, making it a fantastic addition to any living space. With its sleek and minimalist design, this sofa captures the essence of the iconic mid-century modern aesthetic, adding a touch of sophistication to your home decor. The plush velvet upholstery not only adds a luxurious feel but also offers a comfortable and cozy seating experience for you and your guests.
The solid wood legs not only provide sturdy support, ensuring the durability of the sofa, but also introduce a natural and organic element that complements the overall design beautifully. The combination of velvet and solid wood creates a harmonious blend of luxury and simplicity, making it a versatile and inviting piece of furniture.
This sofa is perfect for those who appreciate the timeless beauty of mid-century modern design and want to infuse their living space with a sense of sophistication and charm. Whether placed in the living room, lounge, or any other area, this Mid-Century Modern Velvet Solid Wood Leg Sofa is sure to elevate the ambiance and create an inviting atmosphere in your home. Embrace the elegance and comfort of this exquisite piece and transform your living space into a haven of style and relaxation.",199489147,,Houzz,90.0 inches,32.0 inches,29.0 inches,120.0 lbs,Light Cream,"Velvet, Solid Wood, Foam",Sofas,Midcentury,2,"Light Cream, Mustard Yellow"
"Sonoma 6Pc Modular Sectional Sofa Ottoman, Light Gray Linen","$1,386",https://www.houzz.com/products/sonoma-6pc-modular-sectional-sofa-ottoman-light-gray-linen-prvw-vr~143879055,https://st.hzcdn.com/fimgs/6041a0e000dcfb36_3745-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"Comfort, Style, and Quality! These are the important features for the Sonoma Collection. This beautiful 6-piece Modular Sectional with Ottoman will into fit any living room and impress your guests! The comfortable light gray linen fabric with matching accent pillows will light up your living room with the most trendiest of looks. The size will allow you to welcome multiple guests where everyone will be able to enjoy entertainment together.",143879055,Lilola Home,Timeout PRO,98.0 inches,98.0 inches,35.0 inches,242.0 lbs,,"Fabric, Wood",Sectional Sofas,Transitional,0,
Trent Home Transitional Faux Leather Sectional Sofa with Ottoman in Black,$611,https://www.houzz.com/products/trent-home-transitional-faux-leather-sectional-sofa-with-ottoman-in-black-prvw-vr~198838714,https://st.hzcdn.com/fimgs/b5611f8504ae33e8_5535-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"The Trent Home Faux Leather Sectional Sofa offers both comfort and contemporary style to your living room. Upholstered in black faux leather, this sectional sofa exudes a sleek and modern look. The spacious seating arrangement, including a chaise lounge and an ottoman, provides ample room for relaxation and entertaining guests. The sturdy construction ensures durability, while the plush cushions and adjustable headrests offer optimal comfort. Whether you're lounging or hosting, this sectional sofa is a perfect addition to your home.",198838714,,Homesquare,99.5 inches,67.0 inches,32.0 inches,190.0 lbs,Black,Faux Leather,Sectional Sofas,Transitional,0,
"Minkler Contemporary Faux Leather 3 Seater Sofa With Chaise Lounge, Cognac/Dark Walnut",$843,https://www.houzz.com/products/minkler-contemporary-faux-leather-3-seater-sofa-with-chaise-lounge-cognac-dark-prvw-vr~182674414,https://st.hzcdn.com/fimgs/49411b0b01e53b69_9826-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"Stretch out your legs and enjoy a movie at home with some of your favorite people. Featuring a two-seater sofa and a chaise lounge ensemble, this sectional set not only upgrades your living room space in looks but also brings delightful comfort for you to enjoy. This set is finished with smooth upholstery and a sophisticated tuxedo design, accentuating its contemporary style. Seamlessly blending into your existing furniture, our sofa with chaise lounge set is the perfect addition to any living room decor.",182674414,GDFStudio,GDFStudio,67.5 inches,31.25 inches,26.0 inches,74.52 lbs,Cognac/Dark Walnut,,Sectional Sofas,Contemporary,3,"Cognac/Dark Walnut, Midnight/Dark Walnut, Dark Brown/Dark Walnut"
"Commix Down Filled Overstuffed Performance Velvet 6-Piece Sectional, Cognac","$3,252",https://www.houzz.com/products/commix-down-filled-overstuffed-performance-velvet-6-piece-sectional-cognac-prvw-vr~178935718,https://st.hzcdn.com/fimgs/46910bcc0fe36e1a_2507-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"A haven for cozy relaxation, Commix features plush comfort, clean-lined design, and spacious profile, that makes an attractive statement in the modern home. Covered in stain-resistant performance velvet, this upholstered sectional sofa comes with a solid wood construction and foam padded and duck down cushions for a luxurious sink-in feel. Commix features overstuffed down feather cushions that offer a feeling of relaxation and calming comfort while lounging, making it the perfect addition to the living room, family room, or game room. Made for sprawling out or curling up, Commix beckons you and guests to sit and stay a while. Includes plastic foot glides. Weight Capacity Each Chair: 331 lbs.",178935718,LexMod,First of a Kind USA Inc,158.0 inches,79.0 inches,35.0 inches,425.0 lbs,Cognac,"Seat:28-33KG/M3 density foam; Seat cushion: doll cotton 50%, down feather 50%, 9l",Sectional Sofas,Contemporary,7,"Cognac, Dusty Rose, Light Gray, White, Green, Navy, Gray"
Pimlico 100% Top Grain Leather Sofa,"$2,338",https://www.houzz.com/products/pimlico-100-top-grain-leather-sofa-prvw-vr~156867668,https://st.hzcdn.com/fimgs/fa71523e0e866093_7174-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"Luxury has a name, and that name is leather. Nothing could be more inviting than the warm, rich tones of 100% top grain leather upholstery on a simple, sleek design. More than just a pretty face, the Pimlico's higher than average foam density (2.1 lbs per sq ft) means a longer lasting, more comfortable sofa. The hardwood frame has fully padded and reinforced outside arms and back, and the solid wooden base in a dark stain provides a sophisticated contrast to the sofa body.
Hello Sofa Home has a long and distinguished pedigree of manufacturing the highest quality leather furniture at a tremendous value. Every piece is made with upgraded top grain cowhide leather and top quality construction, to give you and your family a beautiful, long lasting piece of furniture.",156867668,Hello Sofa Home,Houzz,86.0 inches,35.0 inches,34.0 inches,139.0 lbs,,"100% top grain leather, Hardwood, High resiliency foam",Sofas,Transitional,0,
"Harvey Reversible Sectional Sofa Chaise, Dark Gray",$849,https://www.houzz.com/products/harvey-reversible-sectional-sofa-chaise-dark-gray-prvw-vr~143417914,https://st.hzcdn.com/fimgs/3c8131f00fa19e4b_0563-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"Feel young again with the Harvey Collection! Made for modern day small space living, this European Style Modular Sectional Sofa with Reversible Chaise is the perfect choice for you to entertain your guests in style and comfort! The low-back, thick seat cushions and arms, welt finish, and accent pillows are all features for the trendiest look in modern day furnishings. Available in beige and dark gray colors that will complement your home's specific decor.",143417914,Lilola Home,Houzz,104.0 inches,67.5 inches,31.5 inches,173.0 lbs,,"Fabric, Wood, Foam",Sectional Sofas,Transitional,0,
"Hyde Boucle Fabric Upholstered, Cream, Sofa","$1,507",https://www.houzz.com/products/hyde-boucle-fabric-upholstered-cream-sofa-prvw-vr~188032409,https://st.hzcdn.com/fimgs/18218a3202f516f2_9731-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"Curl up and relax on this Hyde cream boucle fabric . This wide, rounded is as comfortable as it is stylish, making it an excellent addition to your living space. Rich cream boucle fabric upholstery gives a soft touch against your skin and its deep plush cushion provides you with cozy support. Its rounded back is both chic and homey, with its contemporary design sure to add flair to your modern home.",188032409,Meridian Furniture,Houzz,89.5 inches,38.0 inches,27.5 inches,134.2 lbs,Cream,Boucle Fabric,Sofas,Transitional,5,"Cream, Black, Brown, Grey, Green"
"Jameer Modern Glam Tufted Velvet 3 Seater Sofa, Grey/Dark Brown",$461,https://www.houzz.com/products/jameer-modern-glam-tufted-velvet-3-seater-sofa-grey-dark-brown-prvw-vr~165406289,https://st.hzcdn.com/fimgs/d961d3550fc6852d_2888-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"Stretch out in leisure on a lovely sofa that will not only anchor your home in refined style but also offer luxurious comfort for you and your guests. Featuring velvet upholstery, this sophisticated sofa is the perfect addition for any interior space. This takes gorgeous button tufted diamond stitching and sloped arms for a graceful structure, easily anchoring your decor in an atmosphere of contemporary elegance. This sofa is finished with beautifully turned wood legs, bringing impressive style and outstanding durability to your home.
MODERN GLAM: Our sofa showcases smooth velvet upholstery and jewel-like colors that pair seamlessly with clean, straight lines for a luxurious modern glam look. Complemented with precise angles and minimalistic structure, this chair brings a sleek touch to any decor.
BUTTON TUFTED DIAMOND STITCH: The button-tufted stitching in the backrest offers an extra touch of sophistication that enhances its contemporary design. The diamond stitch pattern adds a bit of texture without sacrificing any comfort.
VELVET: Our velvet is 100% polyester, featuring a featherlike softness and unique sheen. With a built-in resistance to wrinkles and outstanding durability, this velvet is hands down the best option amongst velvets.
BIRCH WOOD LEGS: This sofa is supported by beautifully turned birch wood legs which offer an attractive look and durable structure. Its fine grain takes stains well, giving this piece a gorgeous finish.
DIMENSIONS: Choose an accessory that is the perfect size for you and your furniture. This sofa is 74.50"" W x 31.00"" D x 30.75"" H. You will love how much your space can transform with the simple addition of this charming couch.",165406289,GDFStudio,GDFStudio,74.5 inches,31.0 inches,30.75 inches,85.32 lbs,Grey/Dark Brown,,Sofas,Traditional,3,"Grey/Dark Brown, Emerald/Dark Brown, Black/Dark Brown"
